"color","group","name","model","category","crystal symmetry","image caption","cleavage","crystal system","optical properties","strunz classification","unit cell","formula","streak","diaphaneity","mohs scale hardness","luster","image filename","refractive index","crystal habit","specific gravity"
"Pink-purple, dark greyish purple, pale purplish red, reddish brown","Organic Minerals","Abelsonite","Mineral","Organic","Space group: P1 or P1Point group: 1 or 1","Abelsonite from the Green River Formation, Uintah County, Utah, US","Probable on {111}","Triclinic","Biaxial","10.CA.20","a = 8.508 \u00c5, b = 11.185 \u00c5c=7.299 \u00c5, \u03b1 = 90.85\u00b0\u03b2 = 114.1\u00b0, \u03b3 = 79.99\u00b0Z = 1","C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>Ni","Pink","Semitransparent","2\u20133","Adamantine, sub-metallic","240px-Abelsonite_-_Green_River_Formation%2C_Uintah_County%2C_Utah%2C_USA.jpg",,,
"Yellow","Arsenates","Abernathyite","Mineral","Arsenate","H-M group: 4/m 2/m 2/mSpace group: P4/ncc","Pale yellow abernathyite crystals and green heinrichite crystals","Perfect on {001}","Tetragonal","Uniaxial (-)","08.EB.15","a = 7.176\u00c5, c = 18.126\u00c5Z = 4","K(UO<sub>2</sub>)(AsO<sub>4</sub>)\u00b7<sub>3</sub>H<sub>2</sub>O","Pale yellow","Transparent","2.5\u20133","Sub-Vitreous, resinous, waxy, greasy","240px-Abernathyite%2C_Heinrichite-497484.jpg","n\u03c9 = 1.597 \u2013 1.608n\u03b5 = 1.570",,
,"Halides","Abhurite","Mineral","Halide","Trigonal","Brownish tabular crystals of abhurite from Shipwreck ""Hydra"", South coast of Norway",,,,"03.DA.30",,"Sn<sub>21</sub>O<sub>6</sub>(OH)<sub>14</sub>Cl<sub>16</sub>",,,,,"240px-Abhurite_-_Shipwreck_Hydra%2C_South_coast_of_Norway.jpg",,,
"Silver gray","Sulfides","Abramovite","Mineral","Sulfides and Sulfosalts",,"","Perfect on {100}","Triclinic - Pinacoidal; Space group = P1",,"02.HF.25a (8th edition)","a = 23.4 \u00c5, b = 5.77 \u00c5, c = 5.83 \u00c5; \u03b1 = 89.1\u00b0, \u03b2 = 89.9\u00b0, \u03b3 = 91.5\u00b0","<sub>1</sub>,<sub>066</sub>.<sub>44</sub> g/mol","Black","Opaque",,"Metallic","240px-Abramovite.jpg",,"Encrustations - Forms crust-like aggregates on matrix",
"Iron-black","Sulfides","Acanthite","Mineral","Sulfide","Monoclinic 2/m","Acanthite on calcite - Locality: Freiberg District, Erzgebirge- Scale is one inch with a rule at one cm","Indistinct","Monoclinic prismatic",,"02.BA.30a","a = 4.229\u00a0\u00c5, b = 6.931\u00a0\u00c5, c\u00a0=\u00a07.862\u00a0\u00c5; \u03b2 = 99.61\u00b0; Z = 4","Ag<sub>2</sub>S","Black","Opaque","2.0 - 2.5","Metallic","240px-Acanthite_on_Calcite_-_Freiberg%2C_Erzgebirge%2C_Saxony%2C_Germany.jpg",,"Primary crystals rare, prismatic to long prismatic, elongated along , may be tubular; massive. Commonly paramorphic after the cubic high-temperature phase (\u201cargentite\u201d), of original cubic or octahedral habit","7.20 - 7.22"
"pale to dark green, yellowish green and black. White or grey when in asbestos","Silicates","Actinolite","Mineral","Inosilicates",,"Actinolite crystal from Portugal","perfect along {110}.","monoclinic \u2013 prismatic, H-M symbol (2/m), space group C2/m","Biaxial (-)","09.DE.10",,"Ca<sub>2</sub>(Mg<sub>4</sub>.<sub>5</sub>-<sub>2</sub>.<sub>5</sub>Fe<sub>2</sub>+<sub>0</sub>.<sub>5</sub>-<sub>2</sub>.<sub>5</sub>)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>","white","translucent to transparent","5\u20136","vitreous to dull","240px-ActinolitePortugual.jpg","n\u03b1 = 1.613\u20131.628n\u03b2 = 1.627\u20131.644n\u03b3 = 1.638\u20131.655","bladed, fibrous, radial","3.00 (+0.10, -0.05)"
"Pale yellow, honey-yellow, brownish yellow, reddish; rarely white, colorless, blue, pale green to green, may be zoned;","Arsenates","Adamite","Mineral","Arsenate",,"Yellow-green adamite in limonite","{101}, good; {010}, poor","Orthorhombic Dipyramidal H-M Symbol (2/m 2/m 2/m) Space Group: Pnnm","Biaxial (+/-)","08.BB.30",,"Zn<sub>2</sub>AsO<sub>4</sub>OH","white to pale green",,"3.5","Vitreous","240px-Adamite-179841.jpg","n\u03b1=1.708 - 1.722, n\u03b2=1.742 - 1.744, n\u03b3=1.763 - 1.773","Wedge-like prisms typically in druses and radiating clusters - also smooth botryoidal masses.","4.32\u20134.48 measured"
,"Other","Adamsite-(Y)","Mineral","",,"",,,,,,"NaY(CO<sub>3</sub>)<sub>2</sub>\u00b7<sub>6</sub>H<sub>2</sub>O",,,"3.0",,"200px-Adamsite-%28Y%29-167345.jpg",,,
"Dark Green, Greenish Black","Silicates","Aegirine","Mineral","Silicate, Pyroxene","Monoclinic 2/m","Monoclinic crystal of aegirine with orthoclase, from Mount Malosa, Zomba District, Malawi (size: 85 mm x 83 mm; 235 g)","Good on {110}, (110) ^ (110) \u224887\u00b0; parting on {100}","Monoclinic Prismatic","Biaxial (-)","09.DA.25","a = 9.658 \u00c5, b = 8.795 \u00c5, c\u00a0=\u00a05.294\u00a0\u00c5, \u03b2 = 107.42\u00b0; Z=4","<sub>231</sub>.<sub>00</sub>","Yellowish-grey","Translucent to opaque","6","Vitreous to slightly resinous","250px-8336M-aegirine.jpg","n\u03b1 = 1.720 - 1.778 n\u03b2 = 1.740 - 1.819 n\u03b3 = 1.757 - 1.839","Prismatic crystals may be in sprays of acicular crystals, fibrous, in radial concretions","3.50 - 3.60"
"Velvet-black","Silicates","Aenigmatite","Mineral","Inosilicates","Triclinic pinacoidalH-M symbol: 1Space group: P1","Aenigmatite from Kangerdluarsuk, Greenland","Good on {010} and {100}","Triclinic - pseudomonoclinic","Biaxial (+)","09.DH.40","a = 10.415(1) \u00c5, b = 10.840(1) \u00c5, c = 8.931(1) \u00c5;\u03b1 = 105.107(4)\u00b0, \u03b2 = 96.610(5)\u00b0, \u03b3 = 125.398(4)\u00b0;Z = 2","Na<sub>2</sub>Fe<sub>2</sub>+<sub>5</sub>TiSi<sub>6</sub>O<sub>20</sub>","Reddish brown","Translucent to opaque","5.5","Vitreous to greasy","240px-Aenigmatite_-_Mineralogisches_Museum_Bonn2.jpg","n\u03b1 = 1.780 - 1.800 n\u03b2 = 1.800 - 1.820 n\u03b3 = 1.870 - 1.900","Poorly developed prismatic crystals, occurring as irregular clusters","3.81"
